CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436,680,1756,1.1899999999999999,1570,29,0.61099999999999999,0.27900000000000003
714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234,972,3262,1.7070000000000001,1348,27,1.7,0.23000000000000001
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367,2362,28005,1.708,1671,27,0.92900000000000005,0.078
753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535,1291,12244,0.65300000000000002,1028,21,1.625,0.095000000000000001
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193,2517,676,1.831,1336,30,1.143,0.78800000000000003
709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470,1157,13313,0.96599999999999997,1207,21,0.90900000000000003,0.080000000000000002
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979,1800,19179,0.90600000000000003,1178,27,0.92900000000000005,0.085999999999999993
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.0469999999999999,692,16,0.59999999999999998,0
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470,680,3790,1.6080000000000001,931,18,1.571,0.152
811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492,1560,932,0.57299999999999995,1126,23,0.35299999999999998,0.626
789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217,0,12217,1.075,1110,21,0.75,0
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768,1669,6099,0.79700000000000004,1051,22,0.83299999999999996,0.215
720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784,1374,13410,0.92100000000000004,1197,23,1.3,0.092999999999999999
804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215,1010,9205,0.84299999999999997,1904,40,1,0.099000000000000005
718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100,0,10100,0.52500000000000002,1052,18,1.571,0
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785,1362,3423,0.73899999999999999,1045,38,0.90000000000000002,0.28499999999999998
778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753,1811,942,0.97699999999999998,1038,25,2.5710000000000002,0.65800000000000003
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451,1690,761,1.323,1596,26,1.6000000000000001,0.68999999999999995
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923,2517,6406,1.726,1589,24,1.667,0.28199999999999997
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650,1490,1160,1.75,1411,28,1,0.56200000000000006
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555,1696,10859,0.51900000000000002,1291,24,0.71399999999999997,0.13500000000000001
715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520,1914,1606,0.51000000000000001,1407,43,0.48299999999999998,0.54400000000000004
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035,2298,737,1.724,1877,37,1.1759999999999999,0.75700000000000001
785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433,0,15433,0.86499999999999999,966,22,1.2,0
715190283,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672,886,2786,1.3200000000000001,1464,28,0.55600000000000005,0.24099999999999999
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882,605,7277,1.052,704,16,0.14299999999999999,0.076999999999999999
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426,578,31848,1.042,1109,28,0.47399999999999998,0.017999999999999999
758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205,2204,4001,0.80300000000000005,1347,28,0.55600000000000005,0.35499999999999998
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304,2517,14787,1.4490000000000001,1756,33,1.2,0.14499999999999999
778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906,0,3906,1.214,1756,32,1,0
720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830,2055,7775,0.97699999999999998,1042,23,0.91700000000000004,0.20899999999999999
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516,0,34516,1.621,1444,28,1.333,0
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283,1430,853,2.3159999999999998,1741,27,0.58799999999999997,0.626
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548,2020,528,2.3570000000000002,1719,27,1.7,0.79300000000000004
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458,1435,18023,0.78700000000000003,1217,27,0.80000000000000004,0.073999999999999996
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745,1227,3518,0.624,1140,40,0.59999999999999998,0.25900000000000001
720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622,1549,1073,1.321,1878,30,1.143,0.59099999999999997
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.29999999999995,0.997,705,19,0.90000000000000002,0.56200000000000006
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171,2179,992,1.224,1946,38,1.923,0.68700000000000006
712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763,2517,17246,0.66400000000000003,1414,35,0.25,0.127
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769,0,15769,1.0409999999999999,602,15,0.36399999999999999,0
717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298,2200,1098,0.67800000000000005,1052,32,0.59999999999999998,0.66700000000000004
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802,2363,439,0.75,1295,40,0.59999999999999998,0.84299999999999997
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458,1880,2578,1.107,1424,29,1.417,0.42199999999999999
711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273,978,5295,2.2749999999999999,1359,25,1.083,0.156
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336,1753,1583,0.68999999999999995,1168,27,1.25,0.52500000000000002
787584108,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436,2016,1420,0.90100000000000002,1097,33,0.83299999999999996,0.58699999999999997
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516,0,34516,0.76300000000000001,691,15,0.5,0
711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926,1251,4675,0.94399999999999995,1316,28,1.1539999999999999,0.21099999999999999
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957,2102,21855,0.997,1276,26,0.73299999999999998,0.087999999999999995
708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734,1634,13100,0.98899999999999999,1289,23,0.91700000000000004,0.111
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516,1515,33001,0.59199999999999997,1293,32,0.59999999999999998,0.043999999999999997
807986133,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584,1817,4767,0.62,1353,35,0.66700000000000004,0.27600000000000002
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084,1468,616,1.004,1132,28,0.55600000000000005,0.70399999999999996
711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687,1107,580,1.7150000000000001,1670,17,2.3999999999999999,0.65600000000000003
717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300,1330,23970,1.0720000000000001,837,15,2,0.052999999999999999
715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516,1763,32753,1.266,1550,41,1.05,0.050999999999999997
720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216,1034,1182,0.75800000000000001,1540,36,0.28599999999999998,0.46700000000000003
719580033,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910,2030,880,0.76900000000000002,1256,21,0.40000000000000002,0.69799999999999995
820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913,1528,21385,0.41399999999999998,1394,35,0.52200000000000002,0.067000000000000004
789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312,1932,22380,1.3120000000000001,1341,24,1.1819999999999999,0.079000000000000001
712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272,1515,3757,0.85699999999999998,1289,33,0.435,0.28699999999999998
804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000,2517,4483,0.47499999999999998,1112,23,1.875,0.35999999999999999
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038,1801,5237,0.751,2339,57,0.96599999999999997,0.25600000000000001
779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536,1823,713,0.70299999999999996,1468,23,0.35299999999999998,0.71899999999999997
710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904,1899,27005,0.84999999999999998,1334,35,0.40000000000000002,0.066000000000000003
715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567,1695,6872,1.242,1457,41,1.4119999999999999,0.19800000000000001
715156383,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516,1533,32983,0.92400000000000004,1603,29,0.52600000000000002,0.043999999999999997
711013983,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158,0,2158,0.58499999999999996,615,12,0.71399999999999997,0
755420433,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133,1417,8716,0.38300000000000001,1068,20,0.81799999999999995,0.14000000000000001
794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516,1219,33297,1.129,1590,27,2,0.035000000000000003
716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085,1910,1175,0.92100000000000004,1531,35,0.66700000000000004,0.61899999999999999
715398033,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040,2056,16984,0.60699999999999998,1212,31,0.72199999999999998,0.108
711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026,0,4026,0.48299999999999998,1237,32,0.59999999999999998,0
719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756,837,11919,1.9319999999999999,1413,14,1.8,0.066000000000000003
778992108,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266,0,5266,1.702,1516,29,1.6359999999999999,0
717539808,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930,0,9930,0.73099999999999998,1276,21,1.333,0
714070758,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,31302,1953,29349,0.875,1564,35,2.1819999999999999,0.062
714107958,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576,0,6576,0.57899999999999996,1465,34,0.61899999999999999,0
789140283,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664,2037,627,0.84999999999999998,1286,29,0.93300000000000005,0.76500000000000001
715550508,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,5,1,2,2535,2440,95,1.7050000000000001,1312,20,1.222,0.96299999999999997
719712633,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709,895,814,1.6559999999999999,1673,32,0.88200000000000001,0.52400000000000002
772629333,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454,1200,2254,0.59699999999999998,1313,30,0.30399999999999999,0.34699999999999998
720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789,1706,2083,1.0469999999999999,1609,42,0.68000000000000005,0.45000000000000001
802013583,Existing Customer,56,M,3,College,Married,$120K +,Blue,50,3,2,0,9689,2250,7439,0.57599999999999996,1158,19,0.72699999999999998,0.23200000000000001
711887583,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3,3,5449,1628,3821,0.69599999999999995,836,18,0.38500000000000001,0.29899999999999999
714778833,Existing Customer,49,F,3,College,Single,Unknown,Blue,43,4,4,0,23032,1960,21072,0.61899999999999999,1289,22,1,0.085000000000000006
713843283,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,5,3,3,34516,2053,32463,1.034,1487,26,0.73299999999999998,0.058999999999999997
779155158,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940,1264,1676,0.56200000000000006,1259,33,0.5,0.42999999999999999
721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031,1879,1152,0.78800000000000003,1298,15,1.5,0.62
713572683,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,3,0,1862,0,1862,0.88300000000000001,1226,34,0.78900000000000003,0
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358,926,7432,0.76200000000000001,1566,37,0.54200000000000004,0.111
779509983,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516,931,33585,0.82799999999999996,1022,21,1.1000000000000001,0.027
717929133,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450,2440,12010,1.2829999999999999,1235,30,0.66700000000000004,0.16900000000000001
808284783,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56,6,0,0,1438.3,0,1438.3,0.81299999999999994,1951,44,1.095,0
708476808,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,6,3,2,33791,1960,31831,0.61799999999999999,1047,31,0.82399999999999995,0.058000000000000003
710916408,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466,1886,6580,0.56000000000000005,1342,32,0.39100000000000001,0.223
708492558,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088,865,14223,0.93899999999999995,1107,21,1.625,0.057000000000000002
799825758,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263,1674,1589,0.58799999999999997,1251,35,0.34599999999999997,0.51300000000000001
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494,706,788,1.6739999999999999,1305,24,3,0.47299999999999998
711844758,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551,1294,12257,0.79100000000000004,1388,37,1.056,0.095000000000000001
714798783,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886,895,17991,1.8260000000000001,1235,18,1.571,0.047
826762908,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,48,3,2,0,11976,1273,10703,1.024,2089,36,1.1180000000000001,0.106
771894558,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,4,1,4,9964,1559,8405,1.873,1626,25,0.78600000000000003,0.156
721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159,1196,22963,0.71199999999999997,1111,24,1,0.050000000000000003
715259583,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,3,2,3,5362,1901,3461,0.81599999999999995,1553,38,1,0.35499999999999998
718414008,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,3,2,2,34516,1023,33493,1.004,1064,13,0.625,0.029999999999999999
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174,1951,1223,0.76600000000000001,1243,29,0.61099999999999999,0.61499999999999999
714877233,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,3,2,2,12262,1836,10426,1.5840000000000001,1659,38,1.5329999999999999,0.14999999999999999
785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788,1540,2248,0.56599999999999995,1594,47,0.38200000000000001,0.40699999999999997
771075258,Existing Customer,55,M,2,College,Single,$120K +,Silver,42,2,3,2,34516,1527,32989,0.52600000000000002,1268,42,0.35499999999999998,0.043999999999999997
711318033,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926,0,2926,0.67600000000000005,1304,24,0.84599999999999997,0
783554958,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,6,1,0,32090,0,32090,0.56699999999999995,1368,30,0.36399999999999999,0
720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669,2227,9442,0.622,720,23,0.35299999999999998,0.191
718039683,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,3,1,2,13532,1300,12232,0.84599999999999997,1521,29,1.417,0.096000000000000002
710806083,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,2,2,11888,2090,9798,0.69999999999999996,1137,30,0.76500000000000001,0.17599999999999999
714752208,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393,1985,408,0.78800000000000003,978,16,0.77800000000000002,0.82999999999999996
822063408,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,39,5,1,2,6111,2517,3594,0.63200000000000001,1221,16,2.2000000000000002,0.41199999999999998
714490308,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,46,3,2,3,19270,1662,17608,1.1859999999999999,1565,28,1.5449999999999999,0.085999999999999993
713356833,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1,4,3710,2517,1193,1.5409999999999999,1578,34,0.69999999999999996,0.67800000000000005
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235,797,2438,0.54100000000000004,1493,32,1,0.246
708296883,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1,0,11749,788,10961,0.68799999999999994,1178,27,0.92900000000000005,0.067000000000000004
719154483,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36,5,3,2,7753,2100,5653,0.83899999999999997,991,26,0.73299999999999998,0.27100000000000002
717721458,Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,40,5,1,0,10408,1186,9222,1.6890000000000001,2560,42,1.2110000000000001,0.114
711112683,Existing Customer,63,F,1,College,Married,Unknown,Blue,36,6,2,3,3967,1568,2399,1.236,1657,29,1.2310000000000001,0.39500000000000002
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2,2,6205,2517,3688,0.93899999999999995,1204,19,0.72699999999999998,0.40600000000000003
789322833,Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38,1,3,3,8025,0,8025,0.65400000000000003,673,18,0.80000000000000004,0
789968058,Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,42,6,2,3,9036,2327,6709,0.64900000000000002,1131,18,0.63600000000000001,0.25800000000000001
709919283,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,34,2,3,2,14926,2517,12409,1.996,1576,25,1.5,0.16900000000000001
718744008,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36,3,2,3,6335,1128,5207,0.39700000000000002,1217,20,0.66700000000000004,0.17799999999999999
767712558,Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,53,2,3,3,14979,0,14979,0.70999999999999996,530,10,1,0
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38,3,2,3,2732,0,2732,0.76000000000000001,739,16,0.45500000000000002,0
716104983,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,32,6,3,2,2250,2117,133,1.1619999999999999,1617,31,2.875,0.94099999999999995
818839983,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,50,3,2,0,10916,1536,9380,1.3169999999999999,1592,34,1,0.14099999999999999
772288758,Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,36,4,1,3,5349,1228,4121,0.72799999999999998,1343,30,1.3080000000000001,0.23000000000000001
712350858,Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,24,4,1,3,9366,1104,8262,0.57199999999999995,1303,39,0.625,0.11799999999999999
711009708,Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,28,5,1,0,21617,0,21617,1.0469999999999999,1351,22,0.46700000000000003,0
712720158,Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,56,5,2,3,13860,1652,12208,1.2549999999999999,1910,32,1.909,0.11899999999999999
712215258,Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,31,2,2,3,18386,0,18386,0.86799999999999999,1298,22,0.57099999999999995,0
773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,6,2,2,2405,1540,865,0.46899999999999997,1087,29,1.2310000000000001,0.64000000000000001
795232683,Existing Customer,53,F,1,College,Married,Less than $40K,Blue,47,4,2,3,2154,930,1224,2.121,1439,26,1.3640000000000001,0.432
713786508,Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,36,3,3,3,2038,0,2038,0.78600000000000003,1238,28,0.75,0
713539833,Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,38,6,1,3,8135,0,8135,1.373,1716,29,0.81200000000000006,0
712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38,6,1,3,9364,618,8746,0.55400000000000005,1099,27,0.80000000000000004,0.066000000000000003
718759833,Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,35,4,3,2,32643,0,32643,1.3,1058,24,2.4289999999999998,0
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,3,1,3195,1954,1241,0.97099999999999997,1285,29,0.70599999999999996,0.61199999999999999
720253908,Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,43,5,2,1,2852,1024,1828,1.0089999999999999,1651,28,1,0.35899999999999999
714133158,Existing Customer,59,F,1,College,Single,Unknown,Blue,36,2,3,3,4224,1305,2919,0.85199999999999998,1152,31,0.82399999999999995,0.309
713187033,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,3,2,2,20459,2071,18388,1.248,1767,38,2.1669999999999998,0.10100000000000001
714791208,Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,41,6,5,3,3482,2114,1368,0.50800000000000001,1039,24,0.26300000000000001,0.60699999999999998
772426383,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,5,2,3,3065,1570,1495,1.077,1130,28,1.333,0.51200000000000001
710975883,Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43,3,1,2,2185,1761,424,0.68200000000000005,1645,30,0.42899999999999999,0.80600000000000005
714264408,Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,36,4,1,0,1611,746,865,0.99299999999999999,1413,29,0.70599999999999996,0.46300000000000002
715827858,Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,47,3,3,3,2822,2173,649,1.456,1218,23,2.286,0.77000000000000002
713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,33,6,3,3,32975,2517,30458,0.65800000000000003,597,17,0.69999999999999996,0.075999999999999998
709531908,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,47,5,2,2,1438.3,0,1438.3,0.77600000000000002,2184,53,0.82799999999999996,0
